Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2007-10-31,@,NOH,L,90,104,,36,81,.444,3,10,.300,33,71,.465,.463,15,18,.833,8,26,34,21,5,3,15,27,39,77,.506,10,21,.476,29,56,.518,.571,16,21,.762,11,33,44,23,6,7,20,24
2,2,2007-11-02,@,SAS,L,80,96,,29,75,.387,2,12,.167,27,63,.429,.400,20,26,.769,6,29,35,15,7,5,14,17,31,75,.413,12,27,.444,19,48,.396,.493,22,25,.880,11,39,50,24,8,5,19,26
3,3,2007-11-03,@,DAL,L,102,123,,35,70,.500,3,7,.429,32,63,.508,.521,29,32,.906,11,16,27,14,8,0,16,21,45,69,.652,7,14,.500,38,55,.691,.703,26,29,.897,7,24,31,29,5,5,15,22
4,4,2007-11-06,,SEA,W,104,98,,35,78,.449,5,17,.294,30,61,.492,.481,29,37,.784,13,28,41,16,14,4,19,19,38,79,.481,8,21,.381,30,58,.517,.532,14,18,.778,12,30,42,19,11,4,26,29
5,5,2007-11-09,,CLE,L,91,93,,28,70,.400,2,12,.167,26,58,.448,.414,33,35,.943,7,34,41,7,7,4,17,19,35,92,.380,7,25,.280,28,67,.418,.418,16,22,.727,18,31,49,14,9,3,11,25
6,6,2007-11-10,,MIN,W,100,93,,30,74,.405,6,15,.400,24,59,.407,.446,34,40,.850,14,24,38,12,9,4,15,24,36,82,.439,3,14,.214,33,68,.485,.457,18,24,.750,17,26,43,15,4,7,18,30
7,7,2007-11-12,@,UTA,L,93,117,,35,78,.449,9,19,.474,26,59,.441,.506,14,19,.737,10,22,32,16,5,1,19,26,41,82,.500,4,11,.364,37,71,.521,.524,31,37,.838,15,26,41,29,8,6,15,19
8,8,2007-11-14,@,MIN,L,103,108,,39,78,.500,11,25,.440,28,53,.528,.571,14,14,1.000,3,23,26,26,9,2,16,18,42,79,.532,8,16,.500,34,63,.540,.582,16,22,.727,10,31,41,19,11,6,16,20
9,9,2007-11-16,,NYK,W,123,118,2OT,41,86,.477,7,16,.438,34,70,.486,.517,34,46,.739,13,33,46,18,6,6,19,31,40,100,.400,5,17,.294,35,83,.422,.425,33,41,.805,19,34,53,16,8,2,14,37
10,10,2007-11-18,,DET,W,105,95,,35,74,.473,5,16,.313,30,58,.517,.507,30,38,.789,7,32,39,22,5,3,10,23,36,74,.486,4,13,.308,32,61,.525,.514,19,33,.576,8,24,32,21,4,4,11,28
