Rk,Executive,Start,End,Notes
1,Max Winter,1948,1954-10-05,
2,George Mikan,1954-10-05,1957-06-19,
3,John Kundla,1957-06-19,1959-04-10,
4,Bob Short,1959-04-10,1960-07-21,
5,Lou Mohs,1960-07-21,1967-04-27,
6,Fred Schaus,1967-04-27,1972-05-16,
7,Pete Newell,1972-06-02,1976-09-17,
8,Bill Sharman,1976-09-17,1982-06-24,
9,Jerry West,1982-06-24,2000-08-07,
10,Mitch Kupchak,2000-08-07,2017-02-21,
11,Magic Johnson,2017-02-21,2019-04-09,
12,Rob Pelinka,2019-04-09,present,
