executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
Sam Presti,301.35,2007-06-07,2026-05-04,18.91,15.94
Rick Sund,4.15,2001-06-01,2007-04-24,5.89,0.7
Wally Walker,-1.95,2000-01-01,2001-06-01,1.42,-1.37
