Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
26,26,2017-12-06,@,CHO,W,101,87,,40,84,.476,11,30,.367,29,54,.537,.542,10,13,.769,8,39,47,26,8,12,15,20,34,97,.351,6,19,.316,28,78,.359,.381,13,17,.765,14,35,49,17,5,3,12,13
27,27,2017-12-08,@,DET,W,102,98,,39,81,.481,7,26,.269,32,55,.582,.525,17,22,.773,5,40,45,29,5,15,14,19,38,92,.413,12,27,.444,26,65,.400,.478,10,19,.526,15,34,49,20,8,2,13,17
28,28,2017-12-11,,POR,W,111,104,,44,80,.550,10,20,.500,34,60,.567,.613,13,17,.765,6,36,42,26,5,9,14,16,37,88,.420,7,28,.250,30,60,.500,.460,23,25,.920,12,27,39,14,11,2,10,18
29,29,2017-12-14,,DAL,W,112,97,,47,78,.603,11,22,.500,36,56,.643,.673,7,9,.778,4,37,41,35,7,4,16,22,37,82,.451,10,29,.345,27,53,.509,.512,13,17,.765,8,23,31,25,7,1,12,16
30,30,2017-12-18,@,LAL,W,116,114,OT,43,107,.402,11,34,.324,32,73,.438,.453,19,21,.905,15,46,61,25,6,10,15,26,41,92,.446,10,25,.400,31,67,.463,.500,22,35,.629,7,38,45,23,9,9,12,26
31,31,2017-12-20,,MEM,W,97,84,,34,74,.459,7,21,.333,27,53,.509,.507,22,25,.880,14,30,44,26,9,8,16,19,28,84,.333,12,31,.387,16,53,.302,.405,16,19,.842,15,26,41,20,10,6,17,23
32,32,2017-12-22,,LAL,W,113,106,,42,85,.494,7,24,.292,35,61,.574,.535,22,27,.815,10,32,42,24,9,13,16,17,40,94,.426,11,29,.379,29,65,.446,.484,15,22,.682,15,31,46,22,11,5,17,23
33,33,2017-12-23,,DEN,L,81,96,,32,84,.381,3,27,.111,29,57,.509,.399,14,17,.824,11,27,38,25,14,8,18,14,38,82,.463,7,28,.250,31,54,.574,.506,13,15,.867,10,35,45,25,10,4,19,14
34,34,2017-12-25,,CLE,W,99,92,,38,82,.463,10,37,.270,28,45,.622,.524,13,17,.765,10,37,47,28,7,7,15,18,28,88,.318,15,36,.417,13,52,.250,.403,21,25,.840,19,31,50,12,8,0,14,19
35,35,2017-12-27,,UTA,W,126,101,,51,86,.593,11,23,.478,40,63,.635,.657,13,17,.765,4,46,50,37,8,7,16,18,37,92,.402,6,23,.261,31,69,.449,.435,21,27,.778,10,33,43,21,10,2,13,22
36,36,2017-12-29,,CHO,L,100,111,,40,87,.460,8,22,.364,32,65,.492,.506,12,13,.923,8,35,43,32,6,5,18,25,41,89,.461,6,20,.300,35,69,.507,.494,23,34,.676,13,34,47,27,12,6,11,10
37,37,2017-12-30,,MEM,W,141,128,,50,85,.588,18,33,.545,32,52,.615,.694,23,25,.920,7,31,38,37,3,6,10,17,49,94,.521,15,21,.714,34,73,.466,.601,15,22,.682,13,25,38,29,6,0,8,22
38,38,2018-01-03,@,DAL,W,125,122,,48,91,.527,13,32,.406,35,59,.593,.599,16,19,.842,7,39,46,36,8,7,14,21,43,90,.478,19,43,.442,24,47,.511,.583,17,22,.773,7,33,40,29,6,2,13,17
