executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
Joe Dumars,95.35,2000-06-06,2014-04-14,13.85,6.88
Stan Van Gundy,9.3,2014-05-14,2018-05-07,3.98,2.34
Ed Stefanski,-1.2,2018-06-01,2020-06-18,2.05,-0.59
Trajan Langdon,-4.5,2024-06-01,2026-05-04,1.92,-2.34
Troy Weaver,-17.25,2020-06-18,2024-05-31,3.95,-4.37
