executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
R.C. Buford,99.95,2002-07-01,2019-07-23,17.06,5.86
Gregg Popovich,42.0,2000-01-01,2002-07-01,2.5,16.8
Brian Wright,-8.4,2019-07-23,2026-05-04,6.78,-1.24
