executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
Tim Connelly,155.65,2013-06-17,2022-05-23,8.93,17.43
Kiki Vandeweghe,20.65,2001-08-09,2006-05-05,4.74,4.36
Masai Ujiri,10.55,2010-08-27,2013-05-31,2.76,3.82
Calvin Booth,0.35,2022-05-23,2025-04-08,2.88,0.12
Dan Issel,-1.5,2000-01-01,2001-08-09,1.6,-0.94
