executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
Danny Ainge,58.95,2003-05-09,2021-06-02,18.07,3.26
Chris Wallace,20.8,2001-01-08,2003-05-09,2.33,8.93
Brad Stevens,-0.55,2021-06-02,2026-05-05,4.92,-0.11
Rick Pitino,-3.5,2000-01-01,2001-01-08,1.02,-3.43
