Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
26,26,2009-12-20,@,DET,W,93,81,,34,83,.410,5,18,.278,29,65,.446,.440,20,27,.741,11,32,43,22,15,6,14,19,33,79,.418,2,12,.167,31,67,.463,.430,13,19,.684,12,33,45,19,10,3,22,26
27,27,2009-12-22,,OKC,W,111,108,,36,81,.444,7,18,.389,29,63,.460,.488,32,39,.821,14,33,47,20,6,11,17,20,41,91,.451,6,14,.429,35,77,.455,.484,20,24,.833,14,26,40,26,7,4,14,30
28,28,2009-12-25,,CLE,L,87,102,,31,85,.365,5,18,.278,26,67,.388,.394,20,27,.741,14,29,43,16,6,3,14,21,38,71,.535,7,18,.389,31,53,.585,.585,19,30,.633,5,37,42,24,7,8,18,24
29,29,2009-12-26,@,SAC,W,112,103,2OT,43,98,.439,8,19,.421,35,79,.443,.480,18,25,.720,15,40,55,20,10,11,18,23,42,105,.400,6,25,.240,36,80,.450,.429,13,20,.650,19,29,48,21,12,3,17,28
30,30,2009-12-28,@,PHO,L,103,118,,40,92,.435,6,17,.353,34,75,.453,.467,17,22,.773,13,30,43,13,8,4,11,25,43,88,.489,12,33,.364,31,55,.564,.557,20,27,.741,10,33,43,25,5,3,12,20
31,31,2009-12-29,,GSW,W,124,118,,42,87,.483,8,22,.364,34,65,.523,.529,32,36,.889,12,30,42,27,7,6,13,19,46,83,.554,6,15,.400,40,68,.588,.590,20,28,.714,6,32,38,31,9,10,16,26
32,32,2010-01-01,,SAC,W,109,108,,39,86,.453,8,20,.400,31,66,.470,.500,23,29,.793,15,28,43,20,3,6,12,15,43,79,.544,10,19,.526,33,60,.550,.608,12,16,.750,4,30,34,31,5,1,14,24
33,33,2010-01-03,,DAL,W,131,96,,52,82,.634,14,24,.583,38,58,.655,.720,13,16,.813,6,38,44,33,6,6,12,21,34,90,.378,5,21,.238,29,69,.420,.406,23,28,.821,17,23,40,20,6,1,10,11
34,34,2010-01-05,,HOU,W,88,79,,36,79,.456,2,10,.200,34,69,.493,.468,14,18,.778,13,37,50,20,6,5,20,25,31,77,.403,4,23,.174,27,54,.500,.429,13,20,.650,8,28,36,22,9,3,17,21
35,35,2010-01-06,@,LAC,L,91,102,,33,86,.384,7,22,.318,26,64,.406,.424,18,23,.783,12,32,44,17,9,3,12,18,40,87,.460,4,15,.267,36,72,.500,.483,18,23,.783,11,39,50,28,5,6,11,18
