Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
51,51,2011-02-07,,CLE,W,99,96,,34,83,.410,7,22,.318,27,61,.443,.452,24,27,.889,16,35,51,21,6,3,16,18,40,91,.440,3,14,.214,37,77,.481,.456,13,17,.765,12,31,43,18,9,5,11,20
52,52,2011-02-09,@,SAC,W,102,100,,38,81,.469,9,25,.360,29,56,.518,.525,17,22,.773,9,30,39,22,2,5,12,21,39,83,.470,3,13,.231,36,70,.514,.488,19,23,.826,12,36,48,19,7,1,11,23
53,53,2011-02-10,@,DEN,L,120,121,,45,84,.536,11,25,.440,34,59,.576,.601,19,25,.760,11,28,39,21,8,3,11,18,44,84,.524,15,31,.484,29,53,.547,.613,18,24,.750,10,26,36,25,8,5,12,25
54,54,2011-02-12,@,HOU,W,106,102,,43,78,.551,8,15,.533,35,63,.556,.603,12,15,.800,9,33,42,26,6,4,15,13,39,96,.406,11,29,.379,28,67,.418,.464,13,17,.765,16,22,38,21,10,2,7,22
55,55,2011-02-16,,SAC,W,116,100,,50,90,.556,13,26,.500,37,64,.578,.628,3,6,.500,10,25,35,34,11,0,21,26,35,71,.493,4,8,.500,31,63,.492,.521,26,34,.765,12,28,40,24,15,4,26,14
56,56,2011-02-17,@,PHO,W,112,106,,43,82,.524,10,27,.370,33,55,.600,.585,16,23,.696,5,34,39,26,8,4,12,20,42,83,.506,5,19,.263,37,64,.578,.536,17,22,.773,9,34,43,24,5,4,13,22
57,57,2011-02-23,,UTA,W,118,99,,44,76,.579,10,20,.500,34,56,.607,.645,20,28,.714,11,32,43,30,7,2,19,25,35,77,.455,4,16,.250,31,61,.508,.481,25,31,.806,10,23,33,18,14,1,20,22
58,58,2011-02-26,@,WAS,W,105,99,,39,81,.481,6,17,.353,33,64,.516,.519,21,31,.677,8,43,51,28,4,3,13,15,44,95,.463,5,14,.357,39,81,.481,.489,6,16,.375,11,37,48,17,7,3,10,22
59,59,2011-02-27,@,TOR,W,114,96,,45,93,.484,8,24,.333,37,69,.536,.527,16,22,.727,11,29,40,28,4,3,6,11,41,84,.488,5,14,.357,36,70,.514,.518,9,12,.750,10,29,39,28,6,8,13,22
60,60,2011-03-01,@,PHI,W,101,93,,41,77,.532,6,18,.333,35,59,.593,.571,13,24,.542,5,38,43,26,5,2,15,16,36,81,.444,7,19,.368,29,62,.468,.488,14,24,.583,7,29,36,20,8,0,12,22
61,61,2011-03-04,,IND,W,116,108,,41,79,.519,7,19,.368,34,60,.567,.563,27,34,.794,14,27,41,28,9,4,16,21,38,78,.487,9,19,.474,29,59,.492,.545,23,28,.821,6,25,31,19,11,0,18,23
62,62,2011-03-06,,MEM,L,103,104,,37,73,.507,10,21,.476,27,52,.519,.575,19,23,.826,8,29,37,21,8,8,15,23,41,87,.471,3,15,.200,38,72,.528,.489,19,24,.792,15,27,42,24,10,2,11,21
63,63,2011-03-07,@,MIN,W,108,105,,38,84,.452,12,35,.343,26,49,.531,.524,20,22,.909,12,32,44,29,11,4,16,19,39,88,.443,11,23,.478,28,65,.431,.506,16,26,.615,16,29,45,23,8,4,16,21
