Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
55,55,2023-02-07,,MIN,W,146,112,,58,93,.624,13,27,.481,45,66,.682,.694,17,22,.773,6,38,44,44,12,5,11,21,40,85,.471,10,35,.286,30,50,.600,.529,22,26,.846,8,28,36,24,6,7,17,16
56,56,2023-02-09,@,ORL,L,104,115,,39,84,.464,10,33,.303,29,51,.569,.524,16,24,.667,7,32,39,24,6,5,16,15,47,97,.485,9,27,.333,38,70,.543,.531,12,19,.632,15,32,47,24,12,6,10,16
57,57,2023-02-11,@,CHO,W,119,105,,50,99,.505,5,23,.217,45,76,.592,.530,14,17,.824,14,37,51,35,7,5,14,20,40,85,.471,8,32,.250,32,53,.604,.518,17,29,.586,5,32,37,25,11,8,14,18
58,58,2023-02-13,@,MIA,W,112,108,,44,76,.579,11,28,.393,33,48,.688,.651,13,15,.867,6,33,39,34,3,4,13,18,39,89,.438,12,35,.343,27,54,.500,.506,18,20,.900,9,25,34,25,9,4,9,14
59,59,2023-02-15,,DAL,W,118,109,,48,84,.571,11,31,.355,37,53,.698,.637,11,15,.733,6,37,43,34,7,5,13,14,39,84,.464,14,39,.359,25,45,.556,.548,17,20,.850,6,25,31,25,8,3,12,13
60,60,2023-02-23,@,CLE,W,115,109,,39,84,.464,17,36,.472,22,48,.458,.565,20,23,.870,18,29,47,30,7,4,16,20,43,90,.478,6,26,.231,37,64,.578,.511,17,20,.850,13,28,41,24,10,2,11,21
61,61,2023-02-25,@,MEM,L,94,112,,36,89,.404,11,37,.297,25,52,.481,.466,11,14,.786,11,37,48,22,4,4,15,13,45,95,.474,15,44,.341,30,51,.588,.553,7,8,.875,11,39,50,25,10,3,12,13
62,62,2023-02-26,,LAC,W,134,124,OT,49,96,.510,13,39,.333,36,57,.632,.578,23,31,.742,11,39,50,35,10,3,16,23,44,90,.489,11,34,.324,33,56,.589,.550,25,30,.833,6,32,38,24,11,5,13,25
63,63,2023-02-28,@,HOU,W,133,112,,53,92,.576,16,37,.432,37,55,.673,.663,11,16,.688,11,32,43,40,8,5,11,10,48,97,.495,9,31,.290,39,66,.591,.541,7,10,.700,10,30,40,33,5,6,13,16
64,64,2023-03-03,,MEM,W,113,97,,40,87,.460,8,31,.258,32,56,.571,.506,25,31,.806,13,40,53,28,6,5,10,21,31,84,.369,11,32,.344,20,52,.385,.435,24,31,.774,10,30,40,24,6,6,11,24
65,65,2023-03-06,,TOR,W,118,113,,43,86,.500,13,33,.394,30,53,.566,.576,19,23,.826,12,29,41,30,9,2,14,12,43,86,.500,10,27,.370,33,59,.559,.558,17,20,.850,11,30,41,29,6,4,15,20
66,66,2023-03-08,,CHI,L,96,117,,37,88,.420,15,40,.375,22,48,.458,.506,7,15,.467,11,33,44,26,5,2,11,16,46,89,.517,8,24,.333,38,65,.585,.562,17,18,.944,9,41,50,26,9,2,9,16
67,67,2023-03-10,@,SAS,L,120,128,,44,90,.489,13,35,.371,31,55,.564,.561,19,20,.950,8,25,33,32,14,4,14,14,51,94,.543,13,33,.394,38,61,.623,.612,13,17,.765,13,37,50,31,10,0,19,20
68,68,2023-03-12,,BRK,L,120,122,,45,90,.500,12,31,.387,33,59,.559,.567,18,24,.750,15,34,49,27,4,8,15,19,42,84,.500,17,44,.386,25,40,.625,.601,21,24,.875,4,24,28,32,11,2,10,21
69,69,2023-03-14,@,TOR,L,110,125,,42,76,.553,6,25,.240,36,51,.706,.592,20,25,.800,4,28,32,29,9,4,14,17,49,93,.527,12,30,.400,37,63,.587,.591,15,17,.882,14,30,44,25,10,2,11,18
70,70,2023-03-16,@,DET,W,119,100,,47,89,.528,8,24,.333,39,65,.600,.573,17,25,.680,13,34,47,29,9,7,10,15,39,85,.459,12,27,.444,27,58,.466,.529,10,18,.556,13,24,37,24,8,3,17,20
71,71,2023-03-18,@,NYK,L,110,116,,43,84,.512,12,33,.364,31,51,.608,.583,12,15,.800,6,27,33,30,3,2,13,21,41,83,.494,9,32,.281,32,51,.627,.548,25,28,.893,15,28,43,23,9,4,12,16
72,72,2023-03-19,@,BRK,W,108,102,,42,80,.525,12,23,.522,30,57,.526,.600,12,13,.923,6,34,40,31,5,3,17,17,38,82,.463,12,35,.343,26,47,.553,.537,14,16,.875,9,24,33,26,10,3,12,16
73,73,2023-03-22,@,WAS,W,118,104,,42,83,.506,15,32,.469,27,51,.529,.596,19,21,.905,11,30,41,28,7,2,10,18,44,87,.506,4,26,.154,40,61,.656,.529,12,16,.750,10,27,37,20,4,4,7,15
74,74,2023-03-25,,MIL,W,129,106,,47,89,.528,15,36,.417,32,53,.604,.612,20,28,.714,7,41,48,28,4,3,12,18,39,88,.443,9,36,.250,30,52,.577,.494,19,21,.905,4,36,40,26,7,2,10,19
75,75,2023-03-27,,PHI,W,116,111,,43,85,.506,11,32,.344,32,53,.604,.571,19,22,.864,10,32,42,34,8,4,12,16,43,89,.483,8,30,.267,35,59,.593,.528,17,22,.773,11,29,40,18,10,3,11,20
76,76,2023-03-30,,NOP,L,88,107,,32,80,.400,4,28,.143,28,52,.538,.425,20,32,.625,11,29,40,21,4,5,10,21,38,80,.475,13,27,.481,25,53,.472,.556,18,22,.818,8,38,46,22,6,1,12,24
77,77,2023-03-31,@,PHO,L,93,100,,38,95,.400,6,26,.231,32,69,.464,.432,11,20,.550,15,36,51,19,11,5,11,16,37,88,.420,10,27,.370,27,61,.443,.477,16,21,.762,13,38,51,28,8,7,16,16
78,78,2023-04-02,,GSW,W,112,110,,44,100,.440,9,33,.273,35,67,.522,.485,15,18,.833,17,30,47,24,11,7,13,17,42,105,.400,9,42,.214,33,63,.524,.443,17,17,1.000,22,35,57,26,9,4,15,22
79,79,2023-04-04,@,HOU,L,103,124,,41,87,.471,11,36,.306,30,51,.588,.534,10,18,.556,13,34,47,26,9,13,20,18,47,102,.461,12,31,.387,35,71,.493,.520,18,24,.750,20,35,55,23,12,3,13,16
80,80,2023-04-06,@,PHO,L,115,119,,44,83,.530,8,23,.348,36,60,.600,.578,19,23,.826,9,29,38,24,7,2,13,19,41,79,.519,17,36,.472,24,43,.558,.627,20,25,.800,7,26,33,26,4,6,10,16
81,81,2023-04-08,@,UTA,L,114,118,,41,90,.456,15,46,.326,26,44,.591,.539,17,24,.708,5,36,41,32,7,9,14,20,44,100,.440,11,35,.314,33,65,.508,.495,19,23,.826,17,42,59,30,9,2,16,18
82,82,2023-04-09,,SAC,W,109,95,,42,84,.500,7,28,.250,35,56,.625,.542,18,25,.720,15,36,51,25,11,2,20,15,37,85,.435,11,43,.256,26,42,.619,.500,10,15,.667,10,24,34,24,7,6,15,18
,,,,,53-29,9495,9222,,3574,7088,.504,969,2559,.379,2605,4529,.575,.573,1378,1834,.751,828,2699,3527,2368,618,368,1192,1525,3423,7166,.478,933,2711,.344,2490,4455,.559,.543,1443,1861,.775,832,2516,3348,2105,646,344,1105,1601
