executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
Masai Ujiri,49.85,2013-05-31,2025-06-27,12.07,4.13
Bryan Colangelo,49.0,2006-02-28,2013-05-31,7.25,6.76
Glen Grunwald,34.15,2000-01-01,2004-04-01,4.25,8.04
Rob Babcock,-6.65,2004-06-07,2006-01-26,1.64,-4.05
