Rk,Executive,Start,End,Notes
1,Isiah Thomas,1994,1997-11-20,
2,Glen Grunwald,1997-11-20,2004-04-01,
3,Jack McCloskey,2004-04-01,2004-06-07,
4,Rob Babcock,2004-06-07,2006-01-26,
5,Wayne Embry,2006-01-26,2006-02-28,
6,Bryan Colangelo,2006-02-28,2013-05-31,
7,Masai Ujiri,2013-05-31,2025-06-27,
8,Bobby Webster,2025-06-27,present,
