Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Kobe Bryant,2002-03,24,LAL,NBA,SG,82,82,3401,26.2,.550,.168,.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,11.0,4.0,14.9,.210,6.3,0.7,7.1,7.7,"MVP-3,DPOY-8,AS,NBA1,DEF1"
Derek Fisher,2002-03,28,LAL,NBA,PG,82,82,2829,11.9,.520,.274,.161,1.6,8.0,4.8,16.1,1.7,0.4,10.2,14.5,3.8,1.4,5.2,.088,-1.0,-0.3,-1.3,0.5,
Rick Fox,2002-03,33,LAL,NBA,SF,76,75,2181,11.9,.523,.451,.111,3.3,13.5,8.3,17.7,1.6,0.5,15.7,15.7,2.0,1.6,3.6,.079,-0.6,-0.3,-1.0,0.6,
Devean George,2002-03,25,LAL,NBA,SF,71,7,1613,11.4,.485,.286,.228,6.3,13.7,10.0,8.6,1.8,1.7,11.4,15.7,1.2,1.4,2.7,.079,-1.3,-0.3,-1.5,0.2,
Robert Horry,2002-03,32,LAL,NBA,PF,80,26,2343,12.4,.488,.372,.282,8.6,16.1,12.3,14.3,2.1,1.9,17.3,12.2,2.3,2.5,4.8,.098,-0.4,1.1,0.6,1.6,
Mark Madsen,2002-03,27,LAL,NBA,PF,54,22,781,9.3,.458,.000,.374,12.3,10.6,11.5,7.1,1.0,1.8,12.5,12.3,0.7,0.4,1.1,.069,-2.6,-1.3,-3.9,-0.4,
Stanislav Medvedenko,2002-03,23,LAL,NBA,PF,58,10,620,10.3,.460,.008,.167,11.9,13.7,12.8,4.9,0.9,0.9,11.8,22.5,0.0,0.4,0.4,.032,-4.7,-2.6,-7.4,-0.8,
Tracy Murray,2002-03,31,LAL,NBA,SF,31,0,193,5.2,.407,.535,.127,2.9,10.6,6.7,9.5,1.3,1.1,15.7,20.4,-0.3,0.1,-0.2,-0.054,-5.1,-1.8,-6.9,-0.2,
Shaquille O'Neal,2002-03,30,LAL,NBA,C,67,66,2535,29.5,.602,.000,.599,11.4,21.6,16.5,16.2,0.8,4.5,11.4,30.2,10.2,3.0,13.2,.250,6.4,0.1,6.5,5.5,"MVP-5,DPOY-13,AS,NBA1,DEF2"
Jannero Pargo,2002-03,23,LAL,NBA,PG,34,0,342,7.3,.449,.258,.043,2.9,9.3,6.1,17.1,2.0,0.4,19.5,15.3,-0.2,0.2,0.1,.007,-5.0,-0.4,-5.4,-0.3,
Kareem Rush,2002-03,22,LAL,NBA,PG,76,0,872,5.8,.447,.279,.094,3.3,8.9,6.1,11.7,0.6,0.9,19.9,16.1,-0.9,0.3,-0.6,-0.033,-3.7,-2.3,-6.0,-0.9,
Soumaila Samake,2002-03,24,LAL,NBA,C,13,1,77,12.9,.442,.000,.083,14.5,19.2,16.8,8.0,0.0,4.7,7.4,15.5,0.1,0.1,0.2,.102,-2.5,-0.9,-3.4,0.0,
Brian Shaw,2002-03,36,LAL,NBA,PG,72,0,900,10.2,.467,.418,.057,2.5,12.5,7.4,17.3,1.8,1.0,16.8,15.9,-0.1,0.7,0.6,.034,-1.3,0.1,-1.2,0.2,
Samaki Walker,2002-03,26,LAL,NBA,C,67,39,1243,11.6,.465,.004,.369,10.3,23.1,16.7,7.5,0.8,3.2,15.0,13.4,0.6,1.4,2.1,.079,-2.3,-0.2,-2.6,-0.2,
