Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Kyle Anderson,2024-25,31,GSW,NBA,PF,36,3,541,14.8,.522,.308,.160,5.2,17.0,10.9,21.2,2.3,3.5,10.0,15.7,0.6,0.9,1.5,.132,-0.3,2.6,2.3,0.6,
Reece Beekman,2024-25,23,GSW,NBA,PG,2,0,4,42.3,1.000,.000,.000,26.1,0.0,13.5,41.9,12.2,0.0,0.0,10.5,0.0,0.0,0.0,.598,9.8,16.1,26.0,0.0,
Jimmy Butler,2024-25,35,GSW,NBA,SF,30,30,980,22.2,.617,.204,.692,7.5,10.7,9.1,26.5,2.5,0.8,9.2,20.6,3.7,1.2,4.9,.242,3.8,1.2,5.0,1.7,
Yuri Collins,2024-25,23,GSW,NBA,PG,2,0,16,13.9,.333,.000,.000,13.1,6.9,10.1,31.9,6.1,0.0,0.0,7.9,0.0,0.0,0.1,.214,-6.2,6.5,0.3,0.0,
Stephen Curry,2024-25,36,GSW,NBA,PG,70,70,2252,21.5,.618,.623,.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,5.2,2.7,7.9,.168,6.4,0.0,6.3,4.8,"MVP-9,CPOY-5,AS,NBA2"
Draymond Green,2024-25,34,GSW,NBA,PF,68,66,1983,12.4,.534,.483,.289,3.9,19.0,11.2,26.2,2.4,3.4,23.3,15.9,0.3,3.4,3.7,.088,-2.3,2.8,0.5,1.3,"DPOY-3,DEF1"
Buddy Hield,2024-25,32,GSW,NBA,SG,82,22,1863,12.3,.560,.698,.081,2.9,12.7,7.6,10.7,1.8,1.2,10.1,20.5,0.6,2.2,2.8,.073,-0.7,-0.3,-1.0,0.5,
Trayce Jackson-Davis,2024-25,24,GSW,NBA,C,62,37,967,18.5,.587,.010,.338,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,1.9,1.4,3.4,.167,0.3,0.9,1.2,0.8,
Braxton Key,2024-25,27,GSW,NBA,SF,3,0,11,1.1,.226,.250,1.500,9.5,10.1,9.8,0.0,8.8,0.0,13.1,29.3,-0.1,0.0,-0.1,-0.259,-13.9,0.3,-13.6,0.0,
Kevin Knox,2024-25,25,GSW,NBA,SF,14,0,84,17.1,.582,.417,.222,8.7,13.2,10.9,9.4,1.2,4.5,9.2,21.8,0.1,0.1,0.2,.121,-0.7,-0.6,-1.3,0.0,
Jonathan Kuminga,2024-25,22,GSW,NBA,PF,47,10,1144,15.7,.535,.266,.414,5.1,15.6,10.2,14.6,1.6,1.7,9.6,27.4,0.5,1.5,1.9,.080,-0.5,-0.1,-0.6,0.4,
Kevon Looney,2024-25,28,GSW,NBA,C,76,6,1142,17.0,.535,.018,.356,16.9,26.9,21.8,14.3,2.0,3.1,10.8,13.3,2.2,2.1,4.3,.182,-1.0,1.3,0.3,0.7,
De'Anthony Melton,2024-25,26,GSW,NBA,SG,6,2,121,13.3,.539,.648,.148,5.2,12.8,8.9,21.1,2.8,1.6,14.8,23.5,0.0,0.2,0.2,.076,-1.6,0.8,-0.8,0.0,
Moses Moody,2024-25,22,GSW,NBA,SG,74,34,1649,12.4,.578,.593,.234,3.3,9.2,6.2,8.3,1.7,1.8,7.9,17.4,1.7,1.8,3.5,.102,-0.9,0.0,-0.9,0.5,
Gary Payton II,2024-25,32,GSW,NBA,SG,62,11,927,16.2,.635,.319,.128,6.0,15.8,10.7,13.5,2.7,1.7,11.0,16.1,1.5,1.5,3.0,.155,-0.5,2.0,1.4,0.8,
Brandin Podziemski,2024-25,21,GSW,NBA,SG,64,33,1716,14.4,.557,.491,.151,4.0,16.8,10.2,18.7,2.0,0.7,10.1,18.3,1.9,2.3,4.2,.117,-0.1,0.8,0.7,1.2,
Quinten Post,2024-25,24,GSW,NBA,PF,42,14,686,14.2,.595,.653,.099,5.3,18.3,11.6,12.2,1.1,2.5,10.3,19.6,0.8,0.9,1.7,.116,0.1,0.0,0.1,0.4,
Jackson Rowe,2024-25,28,GSW,NBA,PF,6,0,52,15.9,.560,.588,.353,6.0,17.0,11.4,11.1,3.7,0.0,4.8,16.7,0.1,0.1,0.2,.153,-0.5,1.5,1.0,0.0,
Gui Santos,2024-25,22,GSW,NBA,PF,56,2,762,11.7,.575,.575,.235,9.9,14.5,12.1,14.2,1.6,1.2,17.5,13.2,0.8,0.9,1.7,.110,-2.2,0.5,-1.7,0.1,
Dennis Schr̦der,2024-25,31,GSW,NBA,SG,24,18,628,8.4,.474,.458,.155,1.7,8.1,4.8,24.0,1.9,0.5,15.2,21.2,-0.5,0.7,0.2,.012,-4.6,-0.6,-5.2,-0.5,
Pat Spencer,2024-25,28,GSW,NBA,PG,39,0,250,12.6,.455,.218,.149,6.3,13.7,9.9,28.1,2.7,1.1,14.3,21.2,-0.1,0.4,0.3,.055,-3.0,1.4,-1.6,0.0,
Lindy Waters III,2024-25,27,GSW,NBA,SG,38,9,655,8.4,.498,.722,.054,2.6,13.5,7.9,8.8,1.6,1.5,7.5,14.6,0.0,0.8,0.8,.057,-3.5,0.4,-3.1,-0.2,
Andrew Wiggins,2024-25,29,GSW,NBA,SF,43,43,1296,16.4,.566,.422,.304,5.3,11.2,8.2,12.2,1.5,2.4,7.7,23.5,1.7,1.5,3.2,.119,1.4,-0.4,1.0,1.0,
