Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Rafer Alston,2009-10,33,MIA,NBA,PG,25,25,655,7.7,.456,.479,.160,0.7,8.9,4.8,16.7,1.9,0.6,15.8,15.4,-0.4,0.8,0.4,.031,-3.7,0.3,-3.4,-0.2,
Joel Anthony,2009-10,27,MIA,NBA,C,80,16,1322,10.2,.546,.000,.579,11.0,11.1,11.1,1.3,0.8,6.7,18.4,8.7,1.0,2.0,3.1,.111,-3.4,1.7,-1.7,0.1,
Carlos Arroyo,2009-10,30,MIA,NBA,PG,72,35,1585,12.3,.529,.067,.240,1.9,7.7,4.8,22.2,1.2,0.3,11.5,13.9,2.2,1.5,3.7,.113,-1.5,0.1,-1.5,0.2,
Michael Beasley,2009-10,21,MIA,NBA,PF,78,78,2328,16.1,.505,.098,.231,6.3,18.8,12.6,7.8,1.8,1.7,10.3,25.8,0.8,3.8,4.6,.095,-0.9,0.1,-0.8,0.7,
Mario Chalmers,2009-10,23,MIA,NBA,PG,73,22,1807,10.7,.519,.520,.242,1.6,7.1,4.4,21.0,2.7,0.5,19.7,16.3,0.3,2.4,2.7,.072,-2.3,1.1,-1.3,0.3,
Daequan Cook,2009-10,22,MIA,NBA,SG,45,3,691,7.5,.422,.498,.099,1.5,12.3,7.0,9.8,1.1,1.2,8.3,19.6,-0.7,0.8,0.1,.010,-2.9,-0.4,-3.3,-0.2,
Yakhouba Diawara,2009-10,27,MIA,NBA,SG,6,2,44,-3.7,.250,.600,.000,2.7,8.0,5.3,9.7,1.2,0.0,23.1,13.9,-0.2,0.0,-0.1,-0.124,-10.5,-0.9,-11.4,-0.1,
Udonis Haslem,2009-10,29,MIA,NBA,PF,78,0,2177,14.6,.538,.000,.305,9.1,24.8,17.0,3.9,0.7,0.9,9.5,17.1,2.8,3.2,6.0,.132,-0.8,-0.8,-1.7,0.2,6MOY-9
James Jones,2009-10,29,MIA,NBA,SF,36,6,503,8.8,.556,.756,.235,0.9,9.5,5.3,5.1,1.2,0.6,7.7,13.3,0.5,0.5,1.0,.099,-1.4,0.2,-1.2,0.1,
Jamaal Magloire,2009-10,31,MIA,NBA,C,36,0,359,9.4,.470,.000,1.054,13.5,26.0,19.8,0.4,1.3,2.5,17.2,13.0,-0.1,0.7,0.6,.078,-5.2,-0.3,-5.5,-0.3,
Jermaine O'Neal,2009-10,31,MIA,NBA,C,70,70,1991,17.9,.563,.003,.302,7.4,21.2,14.3,8.4,0.7,3.9,12.9,22.9,2.4,3.2,5.6,.135,-0.5,0.4,-0.1,1.0,
Shavlik Randolph,2009-10,26,MIA,NBA,PF,3,0,47,4.9,.333,.000,.000,17.6,14.9,16.3,0.0,1.1,1.7,11.8,17.0,-0.1,0.1,0.0,-0.015,-7.1,-2.2,-9.3,-0.1,
Quentin Richardson,2009-10,29,MIA,NBA,SF,76,75,2082,12.9,.572,.638,.127,3.6,17.4,10.6,7.0,1.8,0.7,9.5,14.8,2.7,3.1,5.8,.133,0.4,0.8,1.3,1.7,
Dwyane Wade,2009-10,28,MIA,NBA,SG,77,77,2792,28.0,.562,.161,.465,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,8.5,4.6,13.0,.224,7.1,2.1,9.2,7.9,"MVP-5,DPOY-10,AS,NBA1,DEF2"
Dorell Wright,2009-10,24,MIA,NBA,SF,72,1,1496,14.5,.567,.375,.165,4.0,14.4,9.2,9.8,1.9,1.7,10.6,15.8,2.1,2.2,4.3,.137,0.7,1.2,1.8,1.5,
