Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Matt Barnes,2010-11,30,LAL,NBA,SF,53,0,1020,14.6,.569,.384,.276,8.4,16.7,12.7,10.5,2.0,1.6,15.6,16.6,1.4,1.6,3.0,.142,-0.5,1.0,0.6,0.7,
Steve Blake,2010-11,30,LAL,NBA,PG,79,0,1581,7.5,.500,.631,.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,0.3,1.5,1.8,.055,-2.6,0.2,-2.3,-0.1,
Shannon Brown,2010-11,25,LAL,NBA,SG,82,0,1568,13.6,.518,.330,.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,1.1,1.9,3.1,.093,-0.9,0.2,-0.8,0.5,
Kobe Bryant,2010-11,32,LAL,NBA,SG,82,82,2779,23.9,.548,.217,.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,6.8,3.5,10.3,.178,5.4,-0.2,5.2,5.0,"MVP-4,DPOY-11,AS,NBA1,DEF1"
Andrew Bynum,2010-11,23,LAL,NBA,C,54,47,1500,21.1,.606,.000,.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,3.8,2.8,6.6,.210,1.8,1.4,3.2,2.0,DPOY-22
Derrick Caracter,2010-11,22,LAL,NBA,C,41,0,215,10.0,.532,.000,.348,10.3,12.2,11.3,5.1,1.0,3.5,20.0,20.2,0.0,0.3,0.3,.057,-6.6,-0.5,-7.1,-0.3,
Devin Ebanks,2010-11,21,LAL,NBA,SG,20,0,118,19.4,.507,.098,.451,14.9,11.1,13.0,2.8,1.8,3.2,8.9,25.9,0.2,0.2,0.4,.144,0.1,-2.1,-2.0,0.0,
Derek Fisher,2010-11,36,LAL,NBA,PG,82,82,2297,8.9,.486,.301,.195,0.7,6.6,3.7,14.0,2.3,0.3,10.9,12.8,1.2,2.5,3.7,.078,-3.2,1.3,-2.0,0.0,
Pau Gasol,2010-11,30,LAL,NBA,C,82,82,3037,23.3,.589,.003,.384,10.3,20.5,15.6,15.1,0.8,3.3,9.8,21.8,10.0,4.7,14.7,.232,3.9,0.9,4.8,5.2,"AS,NBA2"
Trey Johnson,2010-11,26,LAL,NBA,SG,1,0,13,16.2,.773,.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.1,0.0,0.1,.230,-0.6,-1.8,-2.4,0.0,
Lamar Odom,2010-11,31,LAL,NBA,PF,82,35,2639,19.4,.589,.199,.275,7.8,22.2,15.2,15.5,0.9,1.8,12.2,19.7,6.1,4.0,10.1,.184,2.8,0.8,3.5,3.7,6MOY-1
Theo Ratliff,2010-11,37,LAL,NBA,C,10,0,71,4.4,.145,.000,.333,9.9,10.8,10.4,5.5,1.5,5.4,30.4,6.3,-0.1,0.1,0.0,.000,-4.9,1.4,-3.5,0.0,
Joe Smith,2010-11,35,LAL,NBA,PF,12,0,44,2.1,.233,.000,.167,5.3,39.9,23.2,9.2,0.0,6.9,18.9,16.5,-0.2,0.1,-0.1,-0.065,-10.9,2.2,-8.7,-0.1,
Sasha VujaÄiÄ,2010-11,26,LAL,NBA,SG,11,0,54,3.4,.419,.304,.087,2.2,6.1,4.2,14.5,1.0,0.0,17.3,24.4,-0.1,0.0,-0.1,-0.082,-7.2,-3.3,-10.5,-0.1,
Luke Walton,2010-11,30,LAL,NBA,SF,54,0,484,5.1,.378,.293,.086,2.2,13.1,7.8,18.0,1.0,0.6,20.5,14.3,-0.7,0.5,-0.2,-0.016,-4.8,-0.2,-5.0,-0.4,
Metta World Peace,2010-11,31,LAL,NBA,SF,82,82,2410,11.2,.485,.354,.207,4.9,7.6,6.3,10.7,2.7,1.1,11.1,15.3,1.2,3.2,4.4,.088,-1.4,1.5,0.2,1.3,DPOY-18
