Player,year_id,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,awards
Ãlex Abrines,2016-17,23,OKC,NBA,SG,68,6,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,.096,-1.3,-0.4,-1.6,0.1,
Steven Adams,2016-17,23,OKC,NBA,C,80,80,2389,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,.130,-0.2,0.0,-0.2,1.1,
Semaj Christon,2016-17,24,OKC,NBA,PG,64,1,973,5.7,.387,.283,.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,-0.7,0.8,0.1,.006,-4.8,-0.3,-5.1,-0.8,
Norris Cole,2016-17,28,OKC,NBA,PG,13,0,125,5.4,.381,.250,.192,0.0,9.8,4.9,16.3,3.1,0.0,11.0,21.5,-0.2,0.2,-0.1,-0.033,-7.5,0.8,-6.7,-0.1,
Nick Collison,2016-17,36,OKC,NBA,PF,20,0,128,12.9,.622,.043,.348,7.8,19.1,13.4,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.4,.145,-1.3,1.1,-0.2,0.1,
Enes Freedom,2016-17,24,OKC,NBA,C,72,0,1533,23.7,.599,.052,.387,14.1,20.8,17.4,7.9,1.0,2.0,12.5,27.3,4.0,1.8,5.8,.183,3.0,-1.3,1.7,1.4,6MOY-8
Taj Gibson,2016-17,31,OKC,NBA,PF,23,16,487,13.8,.528,.006,.218,8.6,14.8,11.7,4.2,1.4,2.5,12.5,19.5,0.2,0.6,0.8,.076,-1.7,-0.9,-2.5,-0.1,
Jerami Grant,2016-17,22,OKC,NBA,PF,78,4,1490,10.3,.566,.367,.447,2.8,12.0,7.4,4.3,1.1,4.0,9.9,11.8,1.3,1.7,3.0,.098,-1.9,0.9,-1.1,0.4,
Josh Huestis,2016-17,25,OKC,NBA,PF,2,0,31,26.1,.612,.364,.091,14.3,17.9,16.1,15.5,0.0,7.7,0.0,15.7,0.1,0.0,0.2,.265,7.6,1.2,8.8,0.1,
Ersan Ä°lyasova,2016-17,29,OKC,NBA,PF,3,0,62,6.9,.469,.750,.000,3.6,25.0,14.3,2.2,2.4,1.3,20.0,13.7,-0.1,0.1,0.0,.012,-4.1,1.4,-2.7,0.0,
Joffrey Lauvergne,2016-17,25,OKC,NBA,PF,50,0,739,12.9,.531,.320,.238,7.6,19.8,13.7,10.3,1.2,0.6,12.9,17.8,0.6,0.8,1.4,.091,-1.0,-0.5,-1.6,0.1,
Doug McDermott,2016-17,25,OKC,NBA,SF,22,1,430,9.3,.551,.468,.137,1.5,11.1,6.3,4.4,0.2,0.2,4.4,13.6,0.5,0.2,0.7,.080,-1.0,-1.7,-2.7,-0.1,
Anthony Morrow,2016-17,31,OKC,NBA,SG,40,7,627,9.2,.491,.534,.117,1.9,3.2,2.6,4.5,1.7,0.3,2.5,16.3,0.4,0.4,0.9,.069,-2.3,-0.5,-2.8,-0.1,
Victor Oladipo,2016-17,24,OKC,NBA,SG,67,67,2222,13.6,.534,.378,.165,1.9,12.6,7.2,12.5,1.7,0.8,10.6,21.4,1.7,2.3,4.0,.085,-0.3,-0.1,-0.5,0.8,
Cameron Payne,2016-17,22,OKC,NBA,PG,20,0,320,6.1,.402,.400,.031,0.7,10.1,5.4,18.3,1.5,1.0,10.8,19.6,-0.4,0.3,-0.1,-0.012,-4.8,-0.6,-5.3,-0.3,
Andre Roberson,2016-17,25,OKC,NBA,SF,79,79,2376,9.6,.510,.397,.240,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,1.1,3.1,4.2,.085,-2.5,1.4,-1.0,0.6,"DPOY-5,DEF2"
Domantas Sabonis,2016-17,20,OKC,NBA,PF,81,66,1632,6.9,.469,.331,.139,3.1,16.4,9.8,7.2,1.2,1.6,14.0,15.4,-1.0,1.8,0.8,.022,-4.5,-0.1,-4.5,-1.0,
Kyle Singler,2016-17,28,OKC,NBA,SF,32,2,385,5.9,.486,.446,.205,2.3,11.5,6.9,3.2,0.9,1.0,10.8,11.2,0.0,0.3,0.3,.034,-4.1,-0.2,-4.3,-0.2,
Russell Westbrook,2016-17,28,OKC,NBA,PG,81,81,2802,30.6,.554,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,.224,8.7,2.4,11.1,9.3,"MVP-1,AS,NBA1"
