Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,1999-11-02,@,UTA,W,91,84,,33,76,.434,8,13,.615,25,63,.397,.487,17,26,.654,16,29,45,22,9,6,16,27,29,67,.433,3,10,.300,26,57,.456,.455,23,28,.821,8,30,38,20,7,6,18,26
2,2,1999-11-03,,VAN,W,103,88,,46,91,.505,1,8,.125,45,83,.542,.511,10,17,.588,15,32,47,31,11,5,13,26,30,73,.411,0,8,.000,30,65,.462,.411,28,40,.700,14,26,40,16,10,3,19,23
3,3,1999-11-06,@,POR,L,82,97,,31,78,.397,3,12,.250,28,66,.424,.417,17,34,.500,15,24,39,16,8,3,14,24,38,69,.551,1,9,.111,37,60,.617,.558,20,21,.952,5,35,40,21,7,3,17,33
4,4,1999-11-07,,DAL,W,105,97,,40,86,.465,5,19,.263,35,67,.522,.494,20,37,.541,15,36,51,24,7,2,11,29,35,82,.427,3,9,.333,32,73,.438,.445,24,30,.800,10,32,42,15,5,3,13,28
5,5,1999-11-09,@,DAL,W,123,101,,53,85,.624,5,12,.417,48,73,.658,.653,12,28,.429,14,39,53,21,8,6,21,24,38,91,.418,7,16,.438,31,75,.413,.456,18,22,.818,12,23,35,12,9,2,16,25
6,6,1999-11-10,@,HOU,W,89,88,,32,81,.395,5,12,.417,27,69,.391,.426,20,24,.833,12,30,42,20,10,4,15,29,30,74,.405,6,19,.316,24,55,.436,.446,22,33,.667,12,32,44,19,8,6,16,25
7,7,1999-11-12,,HOU,L,81,97,,28,83,.337,3,9,.333,25,74,.338,.355,22,25,.880,15,24,39,15,9,5,17,21,35,71,.493,6,16,.375,29,55,.527,.535,21,23,.913,9,35,44,18,12,10,20,21
8,8,1999-11-14,,ATL,W,93,88,,36,84,.429,4,9,.444,32,75,.427,.452,17,33,.515,18,29,47,19,12,7,14,21,32,81,.395,5,12,.417,27,69,.391,.426,19,33,.576,20,36,56,14,8,5,19,28
9,9,1999-11-15,@,PHO,W,91,82,,29,76,.382,2,10,.200,27,66,.409,.395,31,46,.674,14,38,52,11,4,11,12,18,32,87,.368,4,17,.235,28,70,.400,.391,14,19,.737,12,32,44,20,5,4,8,33
10,10,1999-11-18,@,DEN,L,82,93,,34,75,.453,6,13,.462,28,62,.452,.493,8,22,.364,7,28,35,28,7,8,14,26,33,76,.434,7,17,.412,26,59,.441,.480,20,31,.645,10,35,45,20,7,10,17,23
11,11,1999-11-19,,CHI,W,103,95,,29,63,.460,2,7,.286,27,56,.482,.476,43,64,.672,11,35,46,19,7,10,18,29,31,86,.360,7,17,.412,24,69,.348,.401,26,38,.684,15,26,41,18,10,5,17,41
12,12,1999-11-21,,TOR,L,102,111,,42,91,.462,4,16,.250,38,75,.507,.484,14,27,.519,15,35,50,26,3,4,11,26,38,86,.442,10,16,.625,28,70,.400,.500,25,33,.758,13,39,52,16,9,5,9,24
13,13,1999-11-24,,UTA,W,90,82,,31,64,.484,2,10,.200,29,54,.537,.500,26,41,.634,11,33,44,17,8,4,16,22,30,80,.375,4,10,.400,26,70,.371,.400,18,23,.783,11,29,40,18,10,7,16,32
14,14,1999-11-26,,NJN,W,103,80,,45,83,.542,4,10,.400,41,73,.562,.566,9,14,.643,8,36,44,28,5,7,10,20,28,81,.346,5,13,.385,23,68,.338,.377,19,21,.905,14,28,42,19,7,2,14,12
15,15,1999-11-30,@,SEA,W,101,77,,40,77,.519,5,12,.417,35,65,.538,.552,16,21,.762,7,37,44,27,7,8,11,20,31,79,.392,1,9,.111,30,70,.429,.399,14,24,.583,13,29,42,17,5,5,12,21
16,16,1999-12-01,,GSW,W,93,75,,35,93,.376,1,11,.091,34,82,.415,.382,22,29,.759,23,34,57,18,10,5,15,23,28,84,.333,3,10,.300,25,74,.338,.351,16,22,.727,18,34,52,14,11,8,20,26
17,17,1999-12-03,,POR,W,93,80,,31,86,.360,4,19,.211,27,67,.403,.384,27,41,.659,17,40,57,12,9,7,7,22,26,76,.342,7,15,.467,19,61,.311,.388,21,25,.840,7,35,42,17,4,5,12,31
18,18,1999-12-05,,ORL,W,117,100,,40,82,.488,11,17,.647,29,65,.446,.555,26,37,.703,17,27,44,28,15,4,23,28,31,78,.397,5,17,.294,26,61,.426,.429,33,38,.868,11,25,36,19,13,1,25,32
19,19,1999-12-07,,WAS,W,91,80,,32,72,.444,2,6,.333,30,66,.455,.458,25,38,.658,6,39,45,21,6,15,11,18,32,89,.360,3,11,.273,29,78,.372,.376,13,20,.650,14,35,49,20,6,4,14,32
20,20,1999-12-08,@,SAC,L,91,103,,35,83,.422,3,15,.200,32,68,.471,.440,18,23,.783,10,27,37,16,4,2,17,25,37,82,.451,4,13,.308,33,69,.478,.476,25,35,.714,10,35,45,16,11,2,16,23
21,21,1999-12-11,@,VAN,W,106,94,,39,81,.481,1,8,.125,38,73,.521,.488,27,34,.794,13,29,42,20,7,10,8,16,38,81,.469,5,10,.500,33,71,.465,.500,13,15,.867,13,24,37,19,4,3,11,33
22,22,1999-12-12,,DET,W,101,93,,42,100,.420,2,14,.143,40,86,.465,.430,15,25,.600,26,37,63,20,7,10,13,29,30,78,.385,6,17,.353,24,61,.393,.423,27,36,.750,10,30,40,19,5,5,13,21
23,23,1999-12-14,,LAC,W,95,68,,39,91,.429,1,8,.125,38,83,.458,.434,16,25,.640,19,40,59,21,11,10,12,17,26,80,.325,7,18,.389,19,62,.306,.369,9,17,.529,10,32,42,19,8,6,20,23
24,24,1999-12-16,@,ATL,W,95,88,,35,87,.402,0,5,.000,35,82,.427,.402,25,36,.694,19,32,51,15,4,5,12,29,30,78,.385,2,11,.182,28,67,.418,.397,26,36,.722,13,33,46,12,5,7,16,30
25,25,1999-12-17,@,MIN,W,97,88,,35,78,.449,4,12,.333,31,66,.470,.474,23,33,.697,13,33,46,28,7,4,17,16,39,83,.470,0,7,.000,39,76,.513,.470,10,17,.588,9,28,37,29,8,5,14,25
26,26,1999-12-19,@,TOR,W,94,88,,32,75,.427,2,5,.400,30,70,.429,.440,28,40,.700,10,34,44,13,8,9,15,20,35,89,.393,3,11,.273,32,78,.410,.410,15,23,.652,16,34,50,19,9,7,14,30
27,27,1999-12-20,@,BOS,W,99,90,,34,65,.523,3,10,.300,31,55,.564,.546,28,41,.683,6,39,45,19,10,5,24,22,36,89,.404,3,13,.231,33,76,.434,.421,15,18,.833,11,32,43,23,12,3,16,38
28,28,1999-12-25,,SAS,W,99,93,,38,83,.458,1,10,.100,37,73,.507,.464,22,32,.688,11,32,43,24,8,6,13,23,32,85,.376,4,16,.250,28,69,.406,.400,25,33,.758,17,36,53,18,7,2,18,27
29,29,1999-12-27,,DAL,W,108,106,,44,90,.489,3,8,.375,41,82,.500,.506,17,22,.773,13,42,55,26,7,5,12,18,41,93,.441,10,18,.556,31,75,.413,.495,14,21,.667,12,34,46,21,6,4,10,19
30,30,1999-12-29,,PHO,W,103,87,,41,79,.519,7,12,.583,34,67,.507,.563,14,23,.609,14,39,53,26,8,8,20,16,34,90,.378,7,19,.368,27,71,.380,.417,12,18,.667,16,26,42,20,11,2,12,20
31,31,2000-01-04,@,LAC,W,122,98,,50,104,.481,3,7,.429,47,97,.485,.495,19,27,.704,19,40,59,23,8,6,8,19,41,101,.406,4,16,.250,37,85,.435,.426,12,17,.706,18,34,52,15,5,7,13,20
32,32,2000-01-05,,LAC,W,118,101,,50,100,.500,3,12,.250,47,88,.534,.515,15,23,.652,20,40,60,29,5,6,10,21,39,86,.453,5,19,.263,34,67,.507,.483,18,23,.783,9,33,42,19,5,5,13,20
33,33,2000-01-07,,CHH,W,87,83,,27,80,.338,8,19,.421,19,61,.311,.388,25,34,.735,15,37,52,17,9,6,19,26,30,73,.411,2,9,.222,28,64,.438,.425,21,32,.656,7,39,46,14,14,2,17,27
34,34,2000-01-08,@,SEA,W,110,100,,40,76,.526,9,25,.360,31,51,.608,.586,21,28,.750,11,30,41,25,9,4,13,26,36,86,.419,7,20,.350,29,66,.439,.459,21,29,.724,24,24,48,17,8,3,16,20
35,35,2000-01-10,,DEN,W,130,95,,52,107,.486,8,18,.444,44,89,.494,.523,18,26,.692,26,33,59,33,12,12,11,19,37,85,.435,3,13,.231,34,72,.472,.453,18,24,.750,8,30,38,21,4,10,18,24
36,36,2000-01-12,@,MIL,W,103,94,,39,81,.481,6,13,.462,33,68,.485,.519,19,25,.760,10,32,42,22,11,5,18,23,31,78,.397,4,16,.250,27,62,.435,.423,28,28,1.000,9,28,37,23,10,1,18,24
37,37,2000-01-14,@,IND,L,102,111,,43,94,.457,4,15,.267,39,79,.494,.479,12,16,.750,16,26,42,22,8,8,10,21,40,84,.476,9,20,.450,31,64,.484,.530,22,23,.957,14,34,48,24,7,4,13,21
