executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
Mitch Kupchak,107.65,2000-08-07,2017-02-21,16.54,6.51
Magic Johnson,7.15,2017-02-21,2019-04-09,2.13,3.36
Rob Pelinka,-3.6,2019-04-09,2026-05-04,7.07,-0.51
Jerry West,-4.0,2000-01-01,2000-08-07,0.6,-6.67
