executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
John Hammond,94.65,2008-04-11,2017-05-23,9.11,10.39
Ernie Grunfeld,18.05,2000-01-01,2003-06-29,3.49,5.17
Larry Harris,12.8,2003-06-29,2008-03-19,4.72,2.71
Jon Horst,1.2,2017-06-16,2026-05-05,8.88,0.14
