Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
26,26,2001-12-18,,DET,W,102,98,,38,79,.481,2,4,.500,36,75,.480,.494,24,29,.828,11,33,44,20,8,4,16,18,41,87,.471,5,18,.278,36,69,.522,.500,11,17,.647,12,26,38,20,9,8,16,26
27,27,2001-12-19,@,SEA,L,92,104,,36,82,.439,4,14,.286,32,68,.471,.463,16,22,.727,8,25,33,17,12,4,12,14,43,80,.538,9,15,.600,34,65,.523,.594,9,11,.818,8,39,47,32,7,6,21,20
28,28,2001-12-22,@,LAC,L,85,101,,36,87,.414,4,15,.267,32,72,.444,.437,9,12,.750,10,33,43,26,6,4,12,17,40,86,.465,6,15,.400,34,71,.479,.500,15,22,.682,14,39,53,30,7,6,13,14
29,29,2001-12-23,,PHO,W,133,101,,52,90,.578,12,26,.462,40,64,.625,.644,17,29,.586,14,37,51,32,7,3,14,22,36,92,.391,6,13,.462,30,79,.380,.424,23,30,.767,14,21,35,18,6,2,13,28
30,30,2001-12-26,,POR,W,89,74,,35,84,.417,7,15,.467,28,69,.406,.458,12,19,.632,14,34,48,24,8,4,13,14,32,81,.395,1,13,.077,31,68,.456,.401,9,14,.643,11,36,47,19,8,3,18,17
31,31,2001-12-28,,MIN,W,125,111,,47,83,.566,5,12,.417,42,71,.592,.596,26,31,.839,10,28,38,27,6,4,10,13,46,95,.484,4,8,.500,42,87,.483,.505,15,19,.789,13,25,38,24,6,4,9,21
32,32,2001-12-30,,BOS,W,109,94,,38,81,.469,9,20,.450,29,61,.475,.525,24,32,.750,11,41,52,27,8,4,11,20,34,87,.391,8,24,.333,26,63,.413,.437,18,25,.720,13,33,46,21,4,2,11,23
33,33,2002-01-02,,LAC,W,105,91,,43,100,.430,9,23,.391,34,77,.442,.475,10,14,.714,17,30,47,34,12,6,7,22,34,83,.410,4,11,.364,30,72,.417,.434,19,28,.679,15,36,51,19,3,7,18,14
34,34,2002-01-05,@,PHO,W,118,112,,42,83,.506,10,23,.435,32,60,.533,.566,24,26,.923,9,38,47,27,9,7,17,22,45,100,.450,7,20,.350,38,80,.475,.485,15,21,.714,15,30,45,25,12,3,13,23
35,35,2002-01-06,,MIL,W,115,101,,46,92,.500,13,26,.500,33,66,.500,.571,10,14,.714,11,26,37,28,10,5,11,16,38,84,.452,12,25,.480,26,59,.441,.524,13,15,.867,12,29,41,21,6,4,17,17
36,36,2002-01-13,,PHO,W,103,100,,34,80,.425,5,13,.385,29,67,.433,.456,30,35,.857,14,33,47,22,11,3,18,16,42,92,.457,5,11,.455,37,81,.457,.484,11,17,.647,15,30,45,27,12,3,14,21
37,37,2002-01-15,,CLE,W,109,102,,40,83,.482,5,12,.417,35,71,.493,.512,24,33,.727,11,25,36,22,8,5,8,19,41,80,.513,4,8,.500,37,72,.514,.538,16,24,.667,13,32,45,22,5,5,16,27
38,38,2002-01-16,@,DEN,W,112,107,,42,80,.525,7,9,.778,35,71,.493,.569,21,29,.724,7,33,40,29,11,5,15,18,43,91,.473,9,19,.474,34,72,.472,.522,12,17,.706,12,28,40,28,10,9,17,21
39,39,2002-01-18,,GSW,W,121,97,,46,88,.523,7,17,.412,39,71,.549,.563,22,28,.786,13,32,45,32,9,6,15,22,39,91,.429,2,7,.286,37,84,.440,.440,17,28,.607,14,28,42,20,10,3,16,26
40,40,2002-01-21,,MEM,W,112,98,,46,94,.489,3,14,.214,43,80,.538,.505,17,26,.654,17,29,46,23,15,0,13,18,41,73,.562,2,6,.333,39,67,.582,.575,14,20,.700,6,34,40,27,9,3,24,22
41,41,2002-01-22,@,POR,L,110,116,OT,44,87,.506,7,17,.412,37,70,.529,.546,15,17,.882,3,34,37,32,6,4,15,22,45,94,.479,8,16,.500,37,78,.474,.521,18,23,.783,15,37,52,24,5,2,14,16
42,42,2002-01-24,,UTA,W,113,80,,41,86,.477,7,19,.368,34,67,.507,.517,24,37,.649,13,39,52,20,7,8,11,24,32,82,.390,1,8,.125,31,74,.419,.396,15,22,.682,11,34,45,20,6,2,16,29
43,43,2002-01-26,@,UTA,W,114,90,,39,81,.481,10,17,.588,29,64,.453,.543,26,29,.897,13,33,46,22,11,2,17,21,34,83,.410,2,10,.200,32,73,.438,.422,20,21,.952,14,28,42,24,9,8,17,25
44,44,2002-01-31,@,SEA,W,99,95,,31,85,.365,7,26,.269,24,59,.407,.406,30,39,.769,18,31,49,17,12,3,13,16,38,92,.413,8,17,.471,30,75,.400,.457,11,13,.846,12,34,46,25,9,4,16,29
45,45,2002-02-01,,DEN,W,132,96,,44,86,.512,9,19,.474,35,67,.522,.564,35,45,.778,21,34,55,20,13,8,12,20,40,96,.417,3,9,.333,37,87,.425,.432,13,22,.591,24,23,47,23,4,4,16,28
46,46,2002-02-03,@,MIN,W,112,107,,43,85,.506,5,13,.385,38,72,.528,.535,21,24,.875,5,32,37,26,5,5,12,22,44,98,.449,2,14,.143,42,84,.500,.459,17,21,.810,17,30,47,25,5,5,10,25
47,47,2002-02-04,@,NJN,L,83,117,,30,85,.353,2,9,.222,28,76,.368,.365,21,28,.750,15,28,43,14,12,4,22,20,42,88,.477,8,12,.667,34,76,.447,.523,25,30,.833,13,34,47,24,11,0,17,23
48,48,2002-02-06,@,BOS,W,102,85,,37,76,.487,8,18,.444,29,58,.500,.539,20,22,.909,6,47,53,26,10,5,19,16,34,89,.382,6,24,.250,28,65,.431,.416,11,17,.647,8,33,41,20,11,1,12,17
49,49,2002-02-07,@,WAS,L,101,108,,38,84,.452,4,13,.308,34,71,.479,.476,21,25,.840,13,30,43,20,4,4,9,15,47,98,.480,4,12,.333,43,86,.500,.500,10,13,.769,17,34,51,29,4,5,9,25
50,50,2002-02-12,,SAS,W,99,86,,41,96,.427,4,14,.286,37,82,.451,.448,13,16,.813,16,31,47,22,10,6,13,13,36,93,.387,0,7,.000,36,86,.419,.387,14,17,.824,20,34,54,17,8,6,18,16
51,51,2002-02-14,,WAS,W,109,93,,43,90,.478,6,13,.462,37,77,.481,.511,17,26,.654,12,40,52,29,8,2,12,20,37,86,.430,4,8,.500,33,78,.423,.453,15,20,.750,7,36,43,24,6,2,12,20
52,52,2002-02-17,,SEA,L,116,126,,37,85,.435,4,23,.174,33,62,.532,.459,38,43,.884,12,23,35,21,8,2,9,23,50,91,.549,8,18,.444,42,73,.575,.593,18,23,.783,18,30,48,30,7,7,14,31
53,53,2002-02-19,,ATL,W,99,79,,38,76,.500,8,20,.400,30,56,.536,.553,15,24,.625,12,33,45,26,11,7,12,16,31,82,.378,6,19,.316,25,63,.397,.415,11,16,.688,14,25,39,20,7,3,17,19
54,54,2002-02-21,@,SAS,L,92,115,,36,88,.409,3,16,.188,33,72,.458,.426,17,22,.773,9,27,36,21,11,7,12,16,47,91,.516,12,16,.750,35,75,.467,.582,9,12,.750,14,36,50,27,4,5,16,19
55,55,2002-02-23,@,DAL,L,97,111,,37,92,.402,6,19,.316,31,73,.425,.435,17,21,.810,13,35,48,25,9,5,13,18,41,81,.506,12,24,.500,29,57,.509,.580,17,24,.708,6,40,46,23,7,5,12,17
56,56,2002-02-26,,UTA,W,107,81,,38,85,.447,4,9,.444,34,76,.447,.471,27,38,.711,15,31,46,22,14,6,17,26,29,69,.420,3,11,.273,26,58,.448,.442,20,28,.714,7,35,42,22,12,5,29,33
57,57,2002-03-01,@,GSW,W,116,108,,47,87,.540,8,12,.667,39,75,.520,.586,14,16,.875,10,32,42,36,13,5,19,25,40,91,.440,3,12,.250,37,79,.468,.456,25,31,.806,20,29,49,26,11,3,18,18
58,58,2002-03-03,,IND,L,86,97,,30,86,.349,7,23,.304,23,63,.365,.390,19,33,.576,13,32,45,16,9,4,16,22,35,81,.432,5,13,.385,30,68,.441,.463,22,27,.815,10,47,57,22,6,2,24,29
59,59,2002-03-04,@,POR,L,95,107,,36,76,.474,8,16,.500,28,60,.467,.526,15,20,.750,8,25,33,19,4,3,17,22,38,81,.469,6,18,.333,32,63,.508,.506,25,28,.893,13,31,44,26,12,3,11,19
60,60,2002-03-08,,CHH,W,99,87,,37,83,.446,2,7,.286,35,76,.461,.458,23,30,.767,10,34,44,23,12,2,12,20,31,77,.403,2,8,.250,29,69,.420,.416,23,31,.742,12,30,42,15,7,5,19,26
61,61,2002-03-10,@,MIL,W,98,73,,42,85,.494,4,10,.400,38,75,.507,.518,10,17,.588,9,33,42,29,11,6,10,13,33,78,.423,3,13,.231,30,65,.462,.442,4,8,.500,9,34,43,19,5,4,18,20
62,62,2002-03-11,@,CHI,W,107,103,,38,86,.442,5,13,.385,33,73,.452,.471,26,32,.813,23,27,50,24,9,5,16,21,42,84,.500,5,11,.455,37,73,.507,.530,14,18,.778,14,25,39,36,9,7,16,30
63,63,2002-03-13,@,PHI,W,92,88,,35,84,.417,1,9,.111,34,75,.453,.423,21,25,.840,14,35,49,24,11,9,11,14,35,82,.427,4,11,.364,31,71,.437,.451,14,19,.737,10,35,45,21,11,5,13,21
64,64,2002-03-14,@,NYK,L,96,113,,36,87,.414,4,18,.222,32,69,.464,.437,20,27,.741,16,29,45,19,8,5,15,21,45,92,.489,6,16,.375,39,76,.513,.522,17,18,.944,13,37,50,31,6,4,10,23
65,65,2002-03-17,@,TOR,W,116,113,,38,81,.469,5,12,.417,33,69,.478,.500,35,44,.795,14,32,46,23,10,3,16,23,41,86,.477,5,11,.455,36,75,.480,.506,26,33,.788,13,31,44,23,8,4,13,32
66,66,2002-03-19,,HOU,W,110,87,,43,90,.478,6,8,.750,37,82,.451,.511,18,23,.783,13,36,49,28,9,5,10,22,34,89,.382,1,15,.067,33,74,.446,.388,18,30,.600,21,33,54,17,7,4,14,20
67,67,2002-03-21,,DEN,W,118,82,,43,75,.573,7,15,.467,36,60,.600,.620,25,31,.806,7,40,47,30,11,9,16,23,29,90,.322,2,11,.182,27,79,.342,.333,22,29,.759,18,27,45,17,9,4,17,24
68,68,2002-03-24,,LAL,L,96,97,,35,87,.402,8,19,.421,27,68,.397,.448,18,24,.750,16,32,48,18,13,4,20,19,41,81,.506,5,16,.313,36,65,.554,.537,10,15,.667,7,29,36,26,10,2,20,22
69,69,2002-03-26,,LAC,W,107,90,,44,93,.473,2,10,.200,42,83,.506,.484,17,21,.810,18,32,50,23,9,5,10,16,37,80,.463,7,12,.583,30,68,.441,.506,9,14,.643,8,27,35,24,7,8,14,19
70,70,2002-03-28,@,HOU,W,101,74,,41,91,.451,3,9,.333,38,82,.463,.467,16,26,.615,17,41,58,20,11,10,10,15,26,87,.299,4,16,.250,22,71,.310,.322,18,25,.720,17,33,50,12,7,6,16,19
71,71,2002-03-29,@,CHH,W,92,87,,36,76,.474,2,10,.200,34,66,.515,.487,18,19,.947,9,37,46,20,8,2,19,23,33,81,.407,4,14,.286,29,67,.433,.432,17,26,.654,13,25,38,17,11,7,15,21
72,72,2002-03-31,@,ATL,W,92,91,,40,94,.426,1,10,.100,39,84,.464,.431,11,15,.733,14,30,44,24,11,4,13,12,37,89,.416,6,18,.333,31,71,.437,.449,11,13,.846,11,39,50,22,9,4,19,18
73,73,2002-04-02,@,MEM,W,107,83,,47,93,.505,4,15,.267,43,78,.551,.527,9,16,.563,13,42,55,26,11,4,14,20,32,84,.381,5,15,.333,27,69,.391,.411,14,25,.560,13,36,49,21,11,2,16,16
74,74,2002-04-03,@,DET,W,107,86,,43,78,.551,1,7,.143,42,71,.592,.558,20,25,.800,6,35,41,30,11,4,17,18,31,73,.425,3,12,.250,28,61,.459,.445,21,28,.750,10,27,37,17,13,6,20,20
75,75,2002-04-05,@,UTA,W,117,109,,44,81,.543,6,14,.429,38,67,.567,.580,23,27,.852,6,26,32,29,13,4,14,25,42,89,.472,6,18,.333,36,71,.507,.506,19,27,.704,19,26,45,24,3,10,17,20
76,76,2002-04-07,,NYK,W,116,82,,47,97,.485,6,10,.600,41,87,.471,.515,16,25,.640,16,34,50,25,13,3,6,20,31,81,.383,7,16,.438,24,65,.369,.426,13,19,.684,11,36,47,18,6,1,23,24
77,77,2002-04-09,,MIN,W,122,103,,50,89,.562,5,10,.500,45,79,.570,.590,17,25,.680,13,30,43,29,10,3,11,18,42,87,.483,2,10,.200,40,77,.519,.494,17,21,.810,13,29,42,16,6,9,14,19
78,78,2002-04-10,@,GSW,W,118,116,,46,86,.535,4,11,.364,42,75,.560,.558,22,24,.917,9,33,42,30,10,5,16,23,46,103,.447,6,18,.333,40,85,.471,.476,18,29,.621,24,28,52,26,13,4,18,21
79,79,2002-04-12,@,LAC,W,125,106,,53,87,.609,6,13,.462,47,74,.635,.644,13,16,.813,11,22,33,30,7,5,10,21,41,76,.539,1,6,.167,40,70,.571,.546,23,29,.793,9,21,30,22,5,2,15,19
80,80,2002-04-14,,DAL,L,100,113,,35,80,.438,4,17,.235,31,63,.492,.463,26,40,.650,14,27,41,24,4,3,12,17,45,94,.479,8,22,.364,37,72,.514,.521,15,16,.938,18,32,50,24,4,5,9,32
81,81,2002-04-16,,GSW,W,120,106,,49,91,.538,3,13,.231,46,78,.590,.555,19,25,.760,13,39,52,31,5,2,17,14,44,92,.478,5,15,.333,39,77,.506,.505,13,16,.813,8,27,35,20,9,6,11,22
82,82,2002-04-17,@,LAL,L,95,109,,38,84,.452,5,18,.278,33,66,.500,.482,14,19,.737,10,37,47,13,6,3,17,13,44,101,.436,8,24,.333,36,77,.468,.475,13,16,.813,15,35,50,22,12,2,10,23
,,,,,61-21,8578,7954,,3267,7003,.467,426,1160,.367,2841,5843,.486,.497,1618,2154,.751,1013,2702,3715,1958,741,374,1128,1560,3128,7108,.440,386,1145,.337,2742,5963,.460,.467,1312,1764,.744,1065,2617,3682,1839,633,387,1246,1826
