Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2014-10-29,@,SAC,W,95,77,,33,75,.440,6,27,.222,27,48,.563,.480,23,32,.719,7,37,44,21,12,8,22,32,24,78,.308,3,18,.167,21,60,.350,.327,26,35,.743,15,35,50,13,11,3,27,26
2,2,2014-11-01,,LAL,W,127,104,,46,83,.554,11,23,.478,35,60,.583,.620,24,28,.857,12,31,43,30,10,4,20,26,41,88,.466,4,14,.286,37,74,.500,.489,18,25,.720,17,20,37,21,9,3,22,27
3,3,2014-11-02,@,POR,W,95,90,,36,81,.444,6,19,.316,30,62,.484,.481,17,21,.810,7,34,41,22,11,7,17,16,37,92,.402,7,27,.259,30,65,.462,.440,9,14,.643,17,39,56,20,9,2,19,19
4,4,2014-11-05,,LAC,W,121,104,,43,74,.581,15,25,.600,28,49,.571,.682,20,20,1.000,4,35,39,29,7,3,23,22,38,82,.463,7,19,.368,31,63,.492,.506,21,27,.778,5,25,30,26,12,2,16,14
5,5,2014-11-08,@,HOU,W,98,87,,39,87,.448,9,28,.321,30,59,.508,.500,11,17,.647,15,39,54,22,11,8,26,19,30,86,.349,10,42,.238,20,44,.455,.407,17,21,.810,16,30,46,13,14,0,23,17
6,6,2014-11-09,@,PHO,L,95,107,,33,69,.478,11,24,.458,22,45,.489,.558,18,21,.857,3,33,36,16,9,7,27,26,34,79,.430,12,30,.400,22,49,.449,.506,27,33,.818,9,30,39,17,9,2,21,19
7,7,2014-11-11,,SAS,L,100,113,,38,70,.543,7,20,.350,31,50,.620,.593,17,20,.850,1,37,38,23,5,4,20,16,46,93,.495,10,25,.400,36,68,.529,.548,11,15,.733,8,28,36,28,9,1,8,19
8,8,2014-11-13,,BRK,W,107,99,,41,90,.456,11,34,.324,30,56,.536,.517,14,21,.667,14,31,45,30,7,10,11,16,39,89,.438,3,16,.188,36,73,.493,.455,18,20,.900,7,34,41,19,5,2,12,22
9,9,2014-11-15,,CHO,W,112,87,,45,87,.517,11,26,.423,34,61,.557,.580,11,14,.786,11,40,51,30,7,3,15,25,32,84,.381,7,17,.412,25,67,.373,.423,16,28,.571,10,31,41,14,5,2,13,13
10,10,2014-11-16,@,LAL,W,136,115,,46,86,.535,14,28,.500,32,58,.552,.616,30,34,.882,11,40,51,32,4,5,16,26,39,99,.394,3,16,.188,36,83,.434,.409,34,43,.791,20,28,48,17,9,4,7,27
11,11,2014-11-21,,UTA,W,101,88,,41,82,.500,6,23,.261,35,59,.593,.537,13,19,.684,6,34,40,28,10,5,13,18,35,82,.427,6,17,.353,29,65,.446,.463,12,19,.632,14,31,45,26,12,5,20,16
12,12,2014-11-23,@,OKC,W,91,86,,33,93,.355,7,25,.280,26,68,.382,.392,18,24,.750,13,39,52,26,7,8,10,18,32,90,.356,3,17,.176,29,73,.397,.372,19,27,.704,13,44,57,13,3,12,11,23
13,13,2014-11-25,@,MIA,W,114,97,,43,75,.573,13,28,.464,30,47,.638,.660,15,23,.652,5,40,45,21,6,9,12,24,33,85,.388,10,23,.435,23,62,.371,.447,21,27,.778,12,28,40,16,7,4,12,22
14,14,2014-11-26,@,ORL,W,111,96,,44,85,.518,12,26,.462,32,59,.542,.588,11,19,.579,8,39,47,30,7,6,15,19,36,87,.414,6,20,.300,30,67,.448,.448,18,24,.750,12,34,46,21,8,1,14,18
15,15,2014-11-28,@,CHO,W,106,101,,42,99,.424,7,26,.269,35,73,.479,.460,15,16,.938,16,30,46,28,7,8,12,26,38,87,.437,6,19,.316,32,68,.471,.471,19,23,.826,8,36,44,27,4,8,14,14
16,16,2014-11-30,@,DET,W,104,93,,37,79,.468,9,21,.429,28,58,.483,.525,21,27,.778,9,40,49,24,5,8,16,19,33,91,.363,11,23,.478,22,68,.324,.423,16,24,.667,15,29,44,25,11,5,13,20
17,17,2014-12-02,,ORL,W,98,97,,38,82,.463,8,27,.296,30,55,.545,.512,14,18,.778,13,36,49,25,8,5,15,15,39,87,.448,6,17,.353,33,70,.471,.483,13,14,.929,8,32,40,19,11,3,11,17
18,18,2014-12-04,,NOP,W,112,85,,47,100,.470,10,22,.455,37,78,.474,.520,8,17,.471,18,38,56,31,11,8,9,8,37,89,.416,3,15,.200,34,74,.459,.433,8,13,.615,10,37,47,23,8,4,17,15
