Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,Plyfs,G.1,W.1,L.1,W/L%.1,Conf,Champ
1,Alvin Gentry,1995,1995,1,36,15,21,0.417,-3.0,,,,,,,
2,Kevin Loughery,1992,1995,4,292,133,159,0.455,-13.0,2.0,8.0,2.0,6.0,0.25,0.0,0.0
3,Pat Riley,1996,2008,11,849,454,395,0.535,29.5,8.0,70.0,34.0,36.0,0.486,1.0,1.0
4,Ron Rothstein,1989,1991,3,246,57,189,0.232,-66.0,,,,,,,
5,Erik Spoelstra,2009,2026,18,1441,830,611,0.576,109.5,14.0,193.0,110.0,83.0,0.57,6.0,2.0
6,Stan Van Gundy,2004,2006,3,185,112,73,0.605,19.5,2.0,28.0,17.0,11.0,0.607,0.0,0.0
