Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,1,2016-10-26,@,PHO,W,113,94,,44,86,.512,6,21,.286,38,65,.585,.547,19,26,.731,10,31,41,24,5,5,14,20,36,77,.468,4,16,.250,32,61,.525,.494,18,27,.667,10,31,41,20,6,3,18,29
2,2,2016-10-27,,SAS,L,94,102,,28,70,.400,6,20,.300,22,50,.440,.443,32,38,.842,6,34,40,22,7,0,16,21,36,79,.456,6,18,.333,30,61,.492,.494,24,27,.889,9,31,40,23,10,8,10,26
3,3,2016-10-29,,MIN,W,106,103,,39,85,.459,9,26,.346,30,59,.508,.512,19,25,.760,11,20,31,24,6,5,13,24,37,70,.529,7,22,.318,30,48,.625,.579,22,31,.710,7,29,36,19,6,5,14,25
4,4,2016-10-31,@,ATL,L,95,106,,36,75,.480,10,23,.435,26,52,.500,.547,13,19,.684,6,32,38,26,10,6,19,34,33,79,.418,11,30,.367,22,49,.449,.487,29,47,.617,17,26,43,24,11,6,13,20
5,5,2016-11-01,@,MIA,L,96,108,OT,34,89,.382,5,23,.217,29,66,.439,.410,23,27,.852,9,44,53,12,4,4,15,23,37,86,.430,13,29,.448,24,57,.421,.506,21,29,.724,6,39,45,24,10,9,17,21
6,6,2016-11-03,@,ORL,L,94,102,,38,80,.475,7,18,.389,31,62,.500,.519,11,17,.647,11,28,39,17,8,1,14,23,38,84,.452,10,30,.333,28,54,.519,.512,16,23,.696,13,31,44,24,5,4,14,14
7,7,2016-11-05,@,MIL,L,91,117,,33,84,.393,10,28,.357,23,56,.411,.452,15,19,.789,13,23,36,27,8,3,15,19,41,82,.500,14,33,.424,27,49,.551,.585,21,25,.840,17,36,53,28,12,10,17,22
8,8,2016-11-06,@,TOR,W,96,91,,34,78,.436,5,16,.313,29,62,.468,.468,23,31,.742,13,34,47,21,4,5,11,22,30,84,.357,7,30,.233,23,54,.426,.399,24,31,.774,13,30,43,22,6,5,6,26
9,9,2016-11-08,,NOP,W,102,94,,39,81,.481,8,25,.320,31,56,.554,.531,16,20,.800,5,34,39,24,7,5,10,21,38,84,.452,5,21,.238,33,63,.524,.482,13,18,.722,7,33,40,23,5,9,11,23
10,10,2016-11-10,,LAL,L,91,101,,34,85,.400,8,21,.381,26,64,.406,.447,15,20,.750,11,32,43,18,13,3,15,19,38,74,.514,9,27,.333,29,47,.617,.574,16,22,.727,4,38,42,18,8,2,21,19
11,11,2016-11-11,@,POR,L,120,122,OT,43,88,.489,6,21,.286,37,67,.552,.523,28,35,.800,13,35,48,18,7,3,15,21,45,86,.523,13,33,.394,32,53,.604,.599,19,27,.704,7,29,36,29,8,4,13,24
12,12,2016-11-16,,SAS,L,105,110,,36,76,.474,9,20,.450,27,56,.482,.533,24,31,.774,10,36,46,21,5,3,17,17,43,88,.489,11,30,.367,32,58,.552,.551,13,17,.765,9,28,37,29,11,7,11,21
13,13,2016-11-18,,LAC,L,115,121,,38,86,.442,10,26,.385,28,60,.467,.500,29,35,.829,9,28,37,21,7,4,15,24,40,76,.526,13,29,.448,27,47,.574,.612,28,34,.824,5,32,37,27,7,6,14,24
14,14,2016-11-20,,TOR,W,102,99,,36,81,.444,11,27,.407,25,54,.463,.512,19,25,.760,4,33,37,26,8,8,14,18,34,85,.400,9,24,.375,25,61,.410,.453,22,24,.917,16,32,48,16,7,6,15,21
15,15,2016-11-23,,OKC,W,116,101,,44,94,.468,12,28,.429,32,66,.485,.532,16,17,.941,11,35,46,26,4,1,11,23,32,76,.421,7,25,.280,25,51,.490,.467,30,38,.789,5,33,38,18,7,7,9,21
16,16,2016-11-25,,HOU,L,104,117,,39,80,.488,9,32,.281,30,48,.625,.544,17,21,.810,4,33,37,24,7,6,14,18,40,85,.471,21,50,.420,19,35,.543,.594,16,20,.800,8,34,42,27,8,2,16,19
17,17,2016-11-27,@,BRK,W,122,105,,46,86,.535,13,23,.565,33,63,.524,.610,17,22,.773,9,36,45,24,11,3,15,12,38,87,.437,16,40,.400,22,47,.468,.529,13,14,.929,9,33,42,19,7,1,16,21
18,18,2016-11-28,@,WAS,L,95,101,OT,38,93,.409,3,21,.143,35,72,.486,.425,16,26,.615,13,31,44,20,15,4,20,24,35,85,.412,10,25,.400,25,60,.417,.471,21,26,.808,11,38,49,22,11,7,24,23
19,19,2016-12-02,@,BOS,L,92,97,,33,88,.375,6,26,.231,27,62,.435,.409,20,25,.800,14,37,51,22,9,10,14,16,36,88,.409,11,28,.393,25,60,.417,.472,14,15,.933,11,34,45,25,10,9,15,22
20,20,2016-12-04,@,NYK,L,98,106,,31,97,.320,9,28,.321,22,69,.319,.366,27,31,.871,18,33,51,18,13,5,11,17,39,88,.443,11,29,.379,28,59,.475,.506,17,24,.708,14,44,58,20,5,10,19,25
21,21,2016-12-07,@,DAL,W,120,89,,47,84,.560,10,22,.455,37,62,.597,.619,16,21,.762,6,34,40,28,10,3,14,23,32,78,.410,10,30,.333,22,48,.458,.474,15,20,.750,9,31,40,17,7,5,23,22
22,22,2016-12-09,,NYK,L,100,103,,35,87,.402,7,28,.250,28,59,.475,.443,23,27,.852,6,33,39,24,10,1,7,20,36,84,.429,10,29,.345,26,55,.473,.488,21,25,.840,12,42,54,22,3,6,17,25
23,23,2016-12-10,@,UTA,L,84,104,,34,90,.378,9,26,.346,25,64,.391,.428,7,13,.538,12,22,34,17,10,4,10,14,37,77,.481,13,29,.448,24,48,.500,.565,17,18,.944,13,41,54,23,9,10,22,16
24,24,2016-12-12,,LAL,W,116,92,,47,84,.560,10,23,.435,37,61,.607,.619,12,21,.571,13,34,47,23,16,6,22,20,33,84,.393,10,23,.435,23,61,.377,.452,16,21,.762,17,22,39,18,12,3,20,16
25,25,2016-12-14,@,HOU,L,98,132,,39,92,.424,11,32,.344,28,60,.467,.484,9,11,.818,12,28,40,27,8,7,16,16,50,85,.588,22,42,.524,28,43,.651,.718,10,16,.625,8,39,47,40,8,5,16,11
26,26,2016-12-16,@,MEM,W,96,92,,31,80,.388,7,24,.292,24,56,.429,.431,27,37,.730,13,32,45,18,5,6,12,25,29,77,.377,5,25,.200,24,52,.462,.409,29,36,.806,13,34,47,19,7,8,13,31
27,27,2016-12-18,@,DAL,L,79,99,,30,76,.395,8,31,.258,22,45,.489,.447,11,17,.647,6,36,42,16,7,4,16,21,34,77,.442,13,33,.394,21,44,.477,.526,18,22,.818,6,38,44,20,10,6,11,13
28,28,2016-12-20,,POR,W,126,121,,40,72,.556,10,23,.435,30,49,.612,.625,36,43,.837,4,27,31,20,3,4,10,28,44,86,.512,4,28,.143,40,58,.690,.535,29,40,.725,15,26,41,30,5,4,9,31
29,29,2016-12-21,@,UTA,W,94,93,,34,74,.459,10,21,.476,24,53,.453,.527,16,24,.667,8,33,41,13,5,3,11,19,33,74,.446,9,27,.333,24,47,.511,.507,18,22,.818,7,36,43,19,7,6,11,22
30,30,2016-12-23,@,MIN,W,109,105,,42,80,.525,15,29,.517,27,51,.529,.619,10,14,.714,6,28,34,27,7,3,11,23,36,79,.456,12,32,.375,24,47,.511,.532,21,26,.808,12,30,42,18,5,4,13,21
31,31,2016-12-26,,PHI,W,102,100,,39,87,.448,7,25,.280,32,62,.516,.489,17,21,.810,13,29,42,24,11,4,19,19,39,79,.494,9,25,.360,30,54,.556,.551,13,18,.722,8,30,38,20,13,5,22,23
32,32,2016-12-28,@,POR,L,89,102,,31,79,.392,9,28,.321,22,51,.431,.449,18,23,.783,6,33,39,20,8,3,11,20,35,74,.473,12,25,.480,23,49,.469,.554,20,22,.909,5,40,45,19,6,4,16,16
33,33,2016-12-31,,MEM,L,98,112,,31,72,.431,11,28,.393,20,44,.455,.507,25,28,.893,11,28,39,17,6,3,13,12,44,87,.506,17,35,.486,27,52,.519,.603,7,9,.778,12,28,40,25,6,3,7,20
34,34,2017-01-03,@,DEN,W,120,113,,46,88,.523,11,29,.379,35,59,.593,.585,17,18,.944,5,28,33,26,7,2,8,13,41,82,.500,18,38,.474,23,44,.523,.610,13,13,1.000,4,28,32,29,6,4,14,18
35,35,2017-01-04,,MIA,L,102,107,,40,78,.513,8,20,.400,32,58,.552,.564,14,17,.824,4,22,26,26,8,3,17,28,35,72,.486,12,28,.429,23,44,.523,.569,25,29,.862,7,32,39,24,8,9,19,20
36,36,2017-01-06,,LAC,L,98,106,,36,87,.414,9,30,.300,27,57,.474,.466,17,22,.773,12,38,50,23,4,3,7,18,39,84,.464,13,31,.419,26,53,.491,.542,15,21,.714,8,37,45,28,6,5,8,13
