executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
Geoff Petrie,93.55,2000-01-01,2013-06-17,13.46,6.95
Vlade Divac,27.5,2015-03-03,2020-08-14,5.45,5.05
Scott Perry,0.0,2025-04-21,2026-05-04,1.03,0.0
Monte McNair,-7.35,2020-09-17,2025-04-17,4.58,-1.6
Pete D'Alessandro,-9.85,2013-06-17,2015-03-03,1.71,-5.76
