executive,draft_value_add,tenure_start,tenure_end,tenure_years,per_year
Donn Nelson,37.6,2005-03-19,2021-06-16,16.24,2.32
Don Nelson,4.6,2000-01-01,2005-03-19,5.21,0.88
Nico Harrison,-7.2,2021-06-28,2025-11-11,4.37,-1.65
