Rk,Executive,Start,End,Notes
1,Norm Sonju,1980-05-01,1996-05-16,
2,Keith Grant,1996-05-16,1996-10-17,
3,Frank Zaccanelli,1996-10-17,1997-02-07,
4,Don Nelson,1997-02-07,2005-03-19,
5,Donn Nelson,2005-03-19,2021-06-16,
6,Nico Harrison,2021-06-28,2025-11-11,
7,Michael Finley,2025-11-11,present,interim
8,Matt Riccardi,2025-11-11,present,interim
